City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,hualmay,-11.0964,-77.6139,25.12,69,48,3.76,PE,1675612853
211,sao paulo de olivenca,-3.3783,-68.8725,22.64,99,100,0.73,BR,1675612853
212,merta,26.65,74.0333,20.43,29,0,1.91,IN,1675612853
213,tautira,-17.7333,-149.15,27.69,73,88,6.65,PF,1675612854
214,asau,46.4333,26.4,-4.29,86,94,2.71,RO,1675612854
215,marechal candido rondon,-24.5561,-54.0567,28.73,44,54,1.99,BR,1675612855
216,seoul,37.5683,126.9778,-0.31,90,0,2.06,KR,1675612634
217,waipawa,-41.4122,175.5153,17.88,79,91,9.03,NZ,1675612856
218,ust-omchug,61.15,149.6333,-37.11,100,78,1.49,RU,1675612856
219,pochutla,15.7432,-96.4661,23.9,43,0,1.99,MX,1675612856
220,gouyave,12.1646,-61.7296,27.43,74,75,8.23,GD,1675612857
221,bucerias,20.75,-105.3333,24.97,49,4,1.75,MX,1675612857
222,ullapool,57.8987,-5.1604,9.08,62,98,4.22,GB,1675612858
223,riverton,40.5219,-111.9391,6.36,51,100,9.77,US,1675612653
224,pedernales,18.0384,-71.744,29.05,53,6,2.09,DO,1675612858
225,katsuura,35.1333,140.3,9.17,80,23,2.15,JP,1675612716
226,chapada dos guimaraes,-15.4606,-55.7497,26.81,66,97,1.08,BR,1675612859
227,atasu,48.6814,71.6433,-7.57,97,98,2.47,KZ,1675612860
228,copperas cove,31.1241,-97.9031,14.1,89,0,2.06,US,1675612801
229,olafsvik,64.8945,-23.7142,5.66,93,91,8.38,IS,1675612860
230,nioro,13.35,-15.75,35.78,7,69,2.9,GM,1675612861
231,san patricio,28.017,-97.5169,19.95,78,0,1.21,US,1675612862
232,iqaluit,63.7506,-68.5145,-33.15,66,75,0.0,CA,1675612862
233,pran buri,12.3847,99.9098,24.3,87,8,2.67,TH,1675612863
234,airai,-8.9266,125.4092,15.97,94,100,0.67,TL,1675612863
235,puerto escondido,15.85,-97.0667,28.52,47,0,2.33,MX,1675612818
236,randudongkal,-7.0981,109.3243,24.27,89,100,0.07,ID,1675612864
237,oranjemund,-28.55,16.4333,19.88,79,4,9.8,NA,1675612783
238,nikolskoye,59.7035,30.7861,-6.78,86,100,3.24,RU,1675612865
239,manjeri,11.1167,76.1167,26.38,73,20,2.57,IN,1675612866
240,mega,4.05,38.3,23.29,14,17,5.5,ET,1675612866
241,sabha,27.0377,14.4283,16.93,30,4,6.2,LY,1675612866
242,sao joao da barra,-21.6403,-41.0511,33.05,69,15,3.13,BR,1675612598
243,melo,-32.3667,-54.1833,27.63,42,79,3.99,UY,1675612867
244,atlantic city,39.3643,-74.4229,7.85,56,0,5.14,US,1675612805
245,san quintin,30.4833,-115.95,14.52,75,0,4.79,MX,1675612868
246,pombia,45.653,8.6336,8.59,52,0,4.12,IT,1675612868
247,lata,40.1629,-8.3327,17.12,42,0,3.12,PT,1675612869
248,guarapari,-20.6667,-40.4975,33.83,66,3,3.86,BR,1675612870
249,kirakira,-10.4544,161.9205,25.44,94,100,3.33,SB,1675612872
250,mehran,33.1222,46.1646,14.32,42,21,6.84,IR,1675612874
251,madang,-5.2246,145.7966,24.41,92,100,3.15,PG,1675612878
252,guasdualito,7.2424,-70.7324,27.98,65,40,4.12,VE,1675612880
253,cotonou,6.3654,2.4183,28.72,77,100,6.45,BJ,1675612884
254,hajipur,25.6833,85.2167,19.99,77,0,1.03,IN,1675612842
255,tazovskiy,67.4667,78.7,-23.09,100,52,3.6,RU,1675612890
256,puerto quijarro,-17.7833,-57.7667,30.94,53,99,1.56,BO,1675612890
257,itoman,26.1247,127.6694,20.01,83,100,3.6,JP,1675612891
258,dalbandin,28.8947,64.4101,17.4,30,0,5.61,PK,1675612892
259,porto santo,33.072,-16.3415,17.21,63,40,6.17,PT,1675612893
260,saint anthony,45.0205,-93.218,-3.39,79,62,1.34,US,1675612838
261,batticaloa,7.7102,81.6924,25.33,81,100,4.79,LK,1675612893
262,fairlie,55.756,-4.8556,7.35,81,88,1.79,GB,1675612893
263,vincennes,48.85,2.4333,9.22,61,40,5.66,FR,1675612681
264,xicotencatl,23.0167,-98.8833,19.83,51,0,0.96,MX,1675612894
265,marsala,37.7966,12.4352,10.97,66,20,6.17,IT,1675612895
266,vanavara,60.34,102.2797,-18.07,99,100,0.81,RU,1675612895
267,beira,-19.8436,34.8389,31.05,55,20,4.63,MZ,1675612895
268,abatskoye,56.2875,70.4555,-18.18,99,100,1.72,RU,1675612896
